state,action_0,action_1,action_2,action_3,action_4,action_5
133,0.481,0.414,0.446,0.414,0.175,0.175
134,0.414,0.352,0.383,0.353,0.112,0.112
135,0.398,0.398,0.398,0.398,0.398,0.398
136,0.777,0.883,0.828,0.883,0.557,0.557
137,0.681,0.595,0.637,0.595,0.366,0.366
138,0.777,0.681,0.727,0.777,0.456,0.456
139,0.727,0.637,0.681,0.637,0.41,0.41
140,0.398,0.398,0.398,0.398,0.398,0.398
141,0.383,0.326,0.326,0.353,0.082,0.082
142,0.517,0.446,0.446,0.481,0.209,0.209
143,0.414,0.35,0.353,0.382,0.111,0.112
144,0.383,0.446,0.446,0.414,0.143,0.143
145,0.398,0.398,0.398,0.398,0.398,0.398
146,0.383,0.446,0.446,0.414,0.143,0.143
147,0.481,0.555,0.555,0.517,0.246,0.246
148,0.517,0.446,0.446,0.481,0.209,0.209
149,0.383,0.326,0.326,0.353,0.082,0.082
150,0.398,0.398,0.398,0.398,0.398,0.398
151,0.414,0.353,0.353,0.383,0.112,0.112
152,0.446,0.383,0.446,0.414,0.143,0.143
153,0.517,0.446,0.517,0.481,0.209,0.209
154,0.446,0.383,0.446,0.414,0.143,0.143
155,0.398,0.398,0.398,0.398,0.398,0.398
156,0.727,0.637,0.637,0.681,0.41,0.41
157,0.727,0.828,0.828,0.777,0.505,0.505
158,0.727,0.637,0.637,0.681,0.41,0.41
159,0.777,0.681,0.777,0.727,0.456,0.456
160,0.398,0.398,0.398,0.398,0.398,0.398
161,0.353,0.299,0.299,0.353,0.054,0.054
162,0.481,0.414,0.414,0.481,0.175,0.175
163,0.383,0.326,0.325,0.383,0.082,0.082
164,0.414,0.481,0.481,0.414,0.175,0.175
165,0.398,0.398,0.398,0.398,0.398,0.398
166,0.414,0.481,0.481,0.414,0.175,0.175
167,0.517,0.595,0.595,0.517,0.284,0.284
168,0.481,0.414,0.414,0.481,0.175,0.175
169,0.353,0.299,0.299,0.353,0.054,0.054
170,0.398,0.398,0.398,0.398,0.398,0.398
171,0.383,0.325,0.326,0.383,0.082,0.082
172,0.481,0.414,0.414,0.414,0.175,0.175
173,0.555,0.481,0.481,0.481,0.246,0.246
174,0.481,0.414,0.414,0.414,0.175,0.175
175,0.398,0.398,0.398,0.398,0.398,0.398
176,0.681,0.595,0.595,0.681,0.366,0.366
177,0.777,0.883,0.883,0.777,0.557,0.557
178,0.681,0.595,0.595,0.681,0.366,0.366
179,0.828,0.727,0.727,0.727,0.505,0.505
180,0.398,0.398,0.398,0.398,0.398,0.398
181,0.326,0.274,0.299,0.325,0.028,0.028
182,0.446,0.383,0.414,0.446,0.143,0.143
183,0.353,0.299,0.323,0.353,0.054,0.047
184,0.446,0.517,0.481,0.446,0.209,0.209
185,0.398,0.398,0.398,0.398,0.398,0.398
186,0.446,0.517,0.481,0.446,0.209,0.209
187,0.555,0.637,0.595,0.555,0.323,0.323
188,0.446,0.383,0.414,0.446,0.143,0.143
189,0.325,0.274,0.299,0.326,0.028,0.028
190,0.398,0.398,0.398,0.398,0.398,0.398
191,0.323,0.291,0.311,0.353,0.049,0.054
192,0.446,0.383,0.414,0.446,0.143,0.143
193,0.517,0.446,0.481,0.517,0.209,0.209
194,0.446,0.383,0.41,0.446,0.143,0.143
195,0.398,0.398,0.398,0.398,0.398,0.398
196,0.637,0.555,0.595,0.637,0.323,0.323
197,0.828,0.94,0.883,0.828,0.611,0.611
198,0.637,0.555,0.595,0.637,0.323,0.323
199,0.777,0.681,0.727,0.777,0.456,0.456
200,0.398,0.398,0.398,0.398,0.398,0.398
201,0.414,0.481,0.414,0.446,0.175,0.175
202,0.555,0.637,0.555,0.595,0.323,0.323
203,0.446,0.517,0.446,0.481,0.209,0.209
204,0.299,0.299,0.353,0.326,0.054,0.054
205,0.398,0.398,0.398,0.398,0.398,0.398
206,0.299,0.299,0.353,0.325,0.054,0.054
207,0.383,0.383,0.446,0.414,0.143,0.143
208,0.637,0.555,0.555,0.595,0.323,0.323
209,0.481,0.414,0.414,0.446,0.175,0.175
210,0.398,0.398,0.398,0.398,0.398,0.398
211,0.517,0.446,0.446,0.481,0.209,0.209
212,0.353,0.353,0.414,0.383,0.112,0.112
213,0.414,0.414,0.481,0.446,0.175,0.175
214,0.353,0.353,0.414,0.383,0.112,0.112
215,0.398,0.398,0.398,0.398,0.398,0.398
216,0.777,0.883,0.777,0.828,0.557,0.557
217,0.595,0.595,0.681,0.637,0.366,0.366
218,0.883,0.777,0.777,0.828,0.557,0.557
219,0.637,0.637,0.727,0.681,0.41,0.41
220,0.398,0.398,0.398,0.398,0.398,0.398
221,0.383,0.446,0.383,0.446,0.143,0.143
222,0.517,0.595,0.517,0.595,0.284,0.284
223,0.414,0.481,0.414,0.481,0.175,0.175
224,0.326,0.326,0.383,0.326,0.082,0.082
225,0.398,0.398,0.398,0.398,0.398,0.398
226,0.326,0.326,0.383,0.326,0.082,0.082
227,0.414,0.414,0.481,0.414,0.175,0.175
228,0.517,0.517,0.517,0.595,0.284,0.284
229,0.383,0.383,0.383,0.446,0.143,0.143
230,0.398,0.398,0.398,0.398,0.398,0.398
231,0.414,0.414,0.414,0.481,0.175,0.175
232,0.383,0.383,0.446,0.383,0.143,0.143
233,0.446,0.446,0.517,0.446,0.209,0.209
234,0.383,0.383,0.446,0.383,0.143,0.143
235,0.398,0.398,0.398,0.398,0.398,0.398
236,0.727,0.828,0.727,0.828,0.505,0.505
237,0.637,0.637,0.727,0.637,0.41,0.41
238,0.727,0.727,0.727,0.828,0.505,0.505
239,0.681,0.681,0.777,0.681,0.456,0.456
240,0.398,0.398,0.398,0.398,0.398,0.398
241,0.353,0.353,0.353,0.414,0.112,0.112
242,0.481,0.481,0.481,0.555,0.246,0.246
243,0.383,0.383,0.383,0.446,0.143,0.143
244,0.353,0.414,0.414,0.353,0.112,0.112
245,0.398,0.398,0.398,0.398,0.398,0.398
246,0.353,0.414,0.414,0.353,0.112,0.112
247,0.446,0.517,0.517,0.446,0.209,0.209
248,0.481,0.481,0.481,0.555,0.246,0.246
249,0.353,0.353,0.353,0.414,0.112,0.112
250,0.398,0.398,0.398,0.398,0.398,0.398
251,0.383,0.383,0.383,0.446,0.143,0.143
252,0.414,0.414,0.481,0.414,0.175,0.175
253,0.481,0.481,0.555,0.481,0.246,0.246
254,0.414,0.414,0.481,0.414,0.175,0.175
255,0.398,0.398,0.398,0.398,0.398,0.398
256,0.681,0.681,0.681,0.777,0.456,0.456
257,0.681,0.777,0.777,0.681,0.456,0.456
258,0.681,0.681,0.681,0.777,0.456,0.456
259,0.727,0.727,0.828,0.727,0.505,0.505
260,0.398,0.398,0.398,0.398,0.398,0.398
261,0.326,0.326,0.326,0.383,0.082,0.082
262,0.446,0.446,0.446,0.517,0.209,0.209
263,0.353,0.353,0.353,0.414,0.112,0.112
264,0.383,0.446,0.446,0.383,0.143,0.143
265,0.398,0.398,0.398,0.398,0.398,0.398
266,0.383,0.446,0.446,0.383,0.143,0.143
267,0.481,0.555,0.555,0.481,0.246,0.246
268,0.446,0.446,0.446,0.517,0.209,0.209
269,0.326,0.326,0.326,0.383,0.082,0.082
270,0.398,0.398,0.398,0.398,0.398,0.398
271,0.353,0.353,0.353,0.414,0.112,0.112
272,0.517,0.446,0.446,0.446,0.209,0.209
273,0.595,0.517,0.517,0.517,0.284,0.284
274,0.517,0.446,0.446,0.446,0.209,0.209
275,0.398,0.398,0.398,0.398,0.398,0.398
276,0.637,0.637,0.637,0.727,0.41,0.41
277,0.727,0.828,0.828,0.727,0.505,0.505
278,0.637,0.637,0.637,0.727,0.41,0.41
279,0.883,0.777,0.777,0.777,0.557,0.557
280,0.398,0.398,0.398,0.398,0.398,0.398
281,0.299,0.299,0.326,0.353,0.054,0.054
282,0.414,0.414,0.446,0.481,0.175,0.175
283,0.326,0.326,0.353,0.383,0.082,0.082
284,0.414,0.481,0.446,0.414,0.175,0.175
285,0.398,0.398,0.398,0.398,0.398,0.398
286,0.414,0.481,0.446,0.414,0.175,0.175
287,0.517,0.595,0.555,0.517,0.284,0.284
288,0.414,0.414,0.446,0.481,0.175,0.175
289,0.299,0.299,0.326,0.353,0.054,0.054
290,0.398,0.398,0.398,0.398,0.398,0.398
291,0.296,0.325,0.346,0.383,0.082,0.081
292,0.481,0.414,0.446,0.481,0.175,0.175
293,0.555,0.481,0.517,0.555,0.246,0.246
294,0.481,0.414,0.446,0.481,0.175,0.175
295,0.398,0.398,0.398,0.398,0.398,0.398
296,0.595,0.595,0.637,0.681,0.366,0.366
297,0.777,0.883,0.828,0.777,0.557,0.557
298,0.595,0.595,0.637,0.681,0.366,0.366
299,0.828,0.727,0.777,0.828,0.505,0.505
300,0.398,0.398,0.398,0.398,0.398,0.398
301,0.383,0.446,0.414,0.414,0.143,0.143
302,0.517,0.595,0.555,0.555,0.284,0.283
303,0.414,0.481,0.446,0.444,0.175,0.175
304,0.274,0.326,0.299,0.299,0.028,0.028
305,0.398,0.398,0.398,0.398,0.398,0.398
306,0.274,0.326,0.299,0.299,0.028,0.028
307,0.353,0.414,0.382,0.383,0.112,0.112
308,0.681,0.595,0.637,0.637,0.366,0.366
309,0.517,0.446,0.481,0.481,0.209,0.209
310,0.398,0.398,0.398,0.398,0.398,0.398
311,0.555,0.481,0.517,0.517,0.246,0.246
312,0.326,0.383,0.353,0.353,0.082,0.082
313,0.383,0.446,0.414,0.414,0.143,0.143
314,0.325,0.383,0.349,0.353,0.082,0.081
315,0.398,0.398,0.398,0.398,0.398,0.398
316,0.727,0.828,0.777,0.777,0.505,0.505
317,0.555,0.637,0.595,0.595,0.323,0.323
318,0.94,0.828,0.883,0.883,0.611,0.611
319,0.595,0.681,0.637,0.637,0.366,0.366
320,0.398,0.398,0.398,0.398,0.398,0.398
321,0.353,0.414,0.353,0.383,0.112,0.112
322,0.481,0.555,0.481,0.517,0.246,0.246
323,0.383,0.446,0.383,0.414,0.143,0.143
324,0.299,0.353,0.353,0.326,0.054,0.054
325,0.398,0.398,0.398,0.398,0.398,0.398
326,0.299,0.353,0.353,0.326,0.054,0.054
327,0.383,0.446,0.446,0.414,0.143,0.143
328,0.481,0.555,0.481,0.517,0.246,0.246
329,0.353,0.414,0.353,0.383,0.112,0.112
330,0.398,0.398,0.398,0.398,0.398,0.398
331,0.383,0.446,0.383,0.414,0.143,0.143
332,0.353,0.414,0.414,0.383,0.112,0.112
333,0.414,0.481,0.481,0.446,0.175,0.175
334,0.353,0.414,0.414,0.38,0.111,0.111
335,0.398,0.398,0.398,0.398,0.398,0.398
336,0.681,0.777,0.681,0.727,0.456,0.456
337,0.595,0.681,0.681,0.637,0.366,0.366
338,0.681,0.777,0.681,0.727,0.456,0.456
339,0.637,0.727,0.727,0.681,0.41,0.41
340,0.398,0.398,0.398,0.398,0.398,0.398
341,0.325,0.383,0.353,0.383,0.082,0.082
342,0.446,0.517,0.481,0.517,0.209,0.209
343,0.353,0.414,0.382,0.414,0.112,0.112
344,0.325,0.383,0.353,0.326,0.082,0.082
345,0.398,0.398,0.398,0.398,0.398,0.398
346,0.326,0.383,0.353,0.326,0.082,0.082
347,0.414,0.481,0.446,0.414,0.175,0.175
348,0.446,0.517,0.481,0.517,0.209,0.209
349,0.326,0.383,0.353,0.383,0.082,0.082
350,0.398,0.398,0.398,0.398,0.398,0.398
351,0.352,0.414,0.383,0.414,0.112,0.112
352,0.383,0.446,0.414,0.383,0.143,0.143
353,0.446,0.517,0.481,0.446,0.209,0.209
354,0.383,0.446,0.414,0.383,0.142,0.143
355,0.398,0.398,0.398,0.398,0.398,0.398
356,0.637,0.727,0.681,0.727,0.41,0.41
357,0.637,0.727,0.681,0.637,0.41,0.41
358,0.637,0.727,0.681,0.727,0.41,0.41
359,0.681,0.777,0.727,0.681,0.456,0.456
360,0.398,0.398,0.398,0.398,0.398,0.398
361,0.299,0.353,0.299,0.326,0.054,0.054
362,0.414,0.481,0.414,0.446,0.175,0.175
363,0.325,0.383,0.325,0.353,0.082,0.081
364,0.353,0.414,0.414,0.383,0.112,0.112
365,0.398,0.398,0.398,0.398,0.398,0.398
366,0.353,0.414,0.414,0.383,0.112,0.112
367,0.446,0.517,0.517,0.481,0.209,0.209
368,0.414,0.481,0.414,0.446,0.175,0.175
369,0.299,0.353,0.299,0.326,0.054,0.054
370,0.398,0.398,0.398,0.398,0.398,0.398
371,0.325,0.383,0.296,0.353,0.081,0.082
372,0.555,0.481,0.481,0.517,0.246,0.246
373,0.637,0.555,0.555,0.595,0.323,0.323
374,0.555,0.481,0.481,0.517,0.246,0.246
375,0.398,0.398,0.398,0.398,0.398,0.398
376,0.595,0.681,0.595,0.637,0.366,0.366
377,0.681,0.777,0.777,0.727,0.456,0.456
378,0.595,0.681,0.595,0.637,0.366,0.366
379,0.94,0.828,0.828,0.883,0.611,0.611
380,0.398,0.398,0.398,0.398,0.398,0.398
381,0.274,0.326,0.299,0.326,0.028,0.028
382,0.383,0.446,0.414,0.446,0.143,0.143
383,0.298,0.353,0.326,0.353,0.054,0.054
384,0.383,0.446,0.414,0.383,0.143,0.143
385,0.398,0.398,0.398,0.398,0.398,0.398
386,0.383,0.446,0.414,0.383,0.143,0.143
387,0.481,0.555,0.517,0.481,0.246,0.246
388,0.383,0.446,0.414,0.446,0.143,0.143
389,0.274,0.325,0.299,0.326,0.028,0.028
390,0.398,0.398,0.398,0.398,0.398,0.398
391,0.288,0.323,0.32,0.353,0.025,0.054
392,0.517,0.446,0.481,0.517,0.209,0.209
393,0.595,0.517,0.555,0.595,0.284,0.284
394,0.517,0.446,0.481,0.517,0.209,0.209
395,0.398,0.398,0.398,0.398,0.398,0.398
396,0.555,0.637,0.595,0.637,0.323,0.323
397,0.727,0.828,0.777,0.727,0.505,0.505
398,0.555,0.637,0.595,0.637,0.323,0.323
399,0.883,0.777,0.828,0.883,0.557,0.557
400,0.398,0.398,0.398,0.398,0.398,0.398
401,0.383,0.414,0.383,0.383,0.112,0.112
402,0.516,0.555,0.517,0.517,0.245,0.246
403,0.412,0.446,0.413,0.413,0.133,0.133
404,0.274,0.299,0.274,0.274,0.003,0.003
405,0.398,0.398,0.398,0.398,0.398,0.398
406,0.273,0.299,0.274,0.274,0.001,0.001
407,0.353,0.383,0.353,0.353,0.082,0.082
408,0.681,0.637,0.681,0.681,0.727,0.41
409,0.517,0.481,0.517,0.517,0.555,0.246
410,0.398,0.398,0.398,0.398,0.398,0.398
411,0.555,0.517,0.555,0.555,0.595,0.284
412,0.326,0.353,0.325,0.325,0.054,0.054
413,0.383,0.414,0.383,0.383,0.112,0.112
414,0.301,0.353,0.32,0.316,0.03,0.048
415,0.398,0.398,0.398,0.398,0.398,0.398
416,0.727,0.777,0.727,0.727,0.456,0.681
417,0.555,0.595,0.555,0.555,0.284,0.517
418,0.94,0.883,0.94,0.94,0.669,1.0
419,0.595,0.637,0.595,0.595,0.323,0.555
420,0.398,0.398,0.398,0.398,0.398,0.398
421,0.353,0.383,0.326,0.353,0.082,0.082
422,0.481,0.517,0.446,0.48,0.209,0.209
423,0.383,0.414,0.346,0.382,0.11,0.112
424,0.298,0.326,0.325,0.299,0.028,0.028
425,0.398,0.398,0.398,0.398,0.398,0.398
426,0.299,0.326,0.325,0.299,0.028,0.028
427,0.383,0.414,0.414,0.383,0.112,0.112
428,0.481,0.517,0.446,0.481,0.209,0.209
429,0.353,0.383,0.326,0.353,0.082,0.082
430,0.398,0.398,0.398,0.398,0.398,0.398
431,0.383,0.414,0.352,0.382,0.112,0.111
432,0.353,0.383,0.383,0.353,0.082,0.082
433,0.414,0.446,0.446,0.414,0.143,0.143
434,0.346,0.383,0.379,0.353,0.08,0.082
435,0.398,0.398,0.398,0.398,0.398,0.398
436,0.681,0.727,0.637,0.681,0.41,0.41
437,0.595,0.637,0.637,0.595,0.323,0.323
438,0.681,0.727,0.637,0.681,0.41,0.41
439,0.637,0.681,0.681,0.637,0.366,0.366
440,0.398,0.398,0.398,0.398,0.398,0.398
441,0.325,0.353,0.325,0.353,0.054,0.054
442,0.446,0.481,0.446,0.48,0.175,0.175
443,0.353,0.383,0.353,0.382,0.081,0.082
444,0.325,0.353,0.325,0.299,0.054,0.054
445,0.398,0.398,0.398,0.398,0.398,0.398
446,0.324,0.353,0.324,0.298,0.053,0.054
447,0.413,0.446,0.414,0.383,0.143,0.143
448,0.446,0.481,0.446,0.481,0.175,0.175
449,0.326,0.353,0.325,0.353,0.054,0.054
450,0.398,0.398,0.398,0.398,0.398,0.398
451,0.347,0.35,0.334,0.383,0.081,0.079
452,0.383,0.414,0.383,0.353,0.112,0.112
453,0.446,0.481,0.446,0.414,0.175,0.175
454,0.382,0.414,0.382,0.332,0.1,0.109
455,0.398,0.398,0.398,0.398,0.398,0.398
456,0.637,0.681,0.637,0.681,0.366,0.366
457,0.637,0.681,0.636,0.595,0.365,0.366
458,0.637,0.681,0.637,0.681,0.366,0.366
459,0.681,0.727,0.681,0.637,0.41,0.41
460,0.398,0.398,0.398,0.398,0.398,0.398
461,0.299,0.326,0.274,0.299,0.028,0.028
462,0.414,0.446,0.383,0.414,0.143,0.143
463,0.325,0.353,0.294,0.325,0.054,0.054
464,0.353,0.383,0.383,0.353,0.082,0.082
465,0.398,0.398,0.398,0.398,0.398,0.398
466,0.353,0.383,0.379,0.353,0.082,0.082
467,0.446,0.481,0.479,0.446,0.175,0.175
468,0.414,0.446,0.383,0.414,0.143,0.143
469,0.299,0.326,0.274,0.299,0.028,0.028
470,0.398,0.398,0.398,0.398,0.398,0.398
471,0.324,0.353,0.271,0.32,0.052,0.052
472,0.555,0.517,0.517,0.555,0.595,0.284
473,0.637,0.595,0.595,0.637,0.681,0.366
474,0.555,0.517,0.517,0.555,0.595,0.284
475,0.398,0.398,0.398,0.398,0.398,0.398
476,0.595,0.637,0.555,0.595,0.323,0.555
477,0.681,0.727,0.727,0.681,0.41,0.637
478,0.595,0.637,0.555,0.595,0.323,0.555
479,0.94,0.883,0.883,0.94,0.669,1.0
480,0.398,0.398,0.398,0.398,0.398,0.398
481,0.274,0.299,0.274,0.299,0.003,0.003
482,0.383,0.414,0.383,0.414,0.112,0.112
483,0.299,0.326,0.291,0.324,0.028,0.027
484,0.383,0.414,0.382,0.353,0.112,0.112
485,0.398,0.398,0.398,0.398,0.398,0.398
486,0.383,0.414,0.383,0.353,0.108,0.107
487,0.48,0.517,0.48,0.446,0.209,0.208
488,0.383,0.414,0.383,0.414,0.112,0.112
489,0.274,0.299,0.274,0.299,0.003,0.003
490,0.398,0.398,0.398,0.398,0.398,0.398
491,0.297,0.326,0.295,0.296,0.022,0.0
492,0.517,0.481,0.517,0.555,0.246,0.246
493,0.595,0.555,0.595,0.637,0.323,0.323
494,0.517,0.481,0.517,0.555,0.246,0.246
495,0.398,0.398,0.398,0.398,0.398,0.398
496,0.555,0.595,0.555,0.595,0.284,0.284
497,0.727,0.777,0.727,0.681,0.456,0.456
498,0.555,0.595,0.555,0.595,0.284,0.284
499,0.883,0.828,0.883,0.94,0.611,0.611
